,utterance_id,speaker,start,end,duration,energy,zcr,f0_mean,Factor1,Factor2
25,25,A,81.43,82.217,0.7869999999999919,2.8246628e-05,0.034609375,109.56906005537549,-0.7970369432862021,0.017076035090200368
26,26,A,88.587,89.07,0.4829999999999899,7.1678296e-06,0.037506103515625,102.51068044472274,-0.8887476215556511,-0.04133308990713273
27,27,A,90.748,91.156,0.40800000000000125,2.1774682e-05,0.024338942307692308,102.99828955141437,-1.1415286200551003,0.00936355948176142
28,28,A,91.932,92.618,0.6859999999999928,1.5667594e-05,0.08172052556818182,108.92675938482279,0.07397984112038833,-0.17044964082798578
29,29,A,92.685,92.978,0.29299999999999216,2.8830718e-06,0.017578125,99.60379858560817,-1.3361423933472207,0.011605234446040431
30,30,A,104.202,104.437,0.23499999999999943,2.6633745e-05,0.04180908203125,157.49587549103197,-0.015587894826723498,0.14542178561659472
31,31,A,105.773,106.042,0.26900000000000546,2.5271109e-05,0.0859375,106.5539343108606,0.06223188248360172,-0.21489122983372524
32,32,A,106.573,107.292,0.7190000000000083,6.711192e-06,0.06719174592391304,105.40002156406062,-0.2501949422465667,-0.12967455002456046
33,33,A,108.235,109.254,1.0190000000000055,4.541597e-06,0.038848876953125,96.25097237532493,-0.8850222479987663,-0.04329237120732214
34,34,A,116.569,116.815,0.2459999999999951,5.34593e-05,0.02838134765625,111.34172316961465,-0.9616183848262981,0.02485347582621455
35,35,A,117.338,117.719,0.3810000000000002,2.0433858e-05,0.032185872395833336,100.24835409854391,-1.0374790567847627,-0.03239659626780966
36,36,A,123.142,123.942,0.7999999999999972,4.4993456e-05,0.027569110576923076,113.31748268399289,-0.8727733475396383,0.06231288498854802
37,37,A,125.95,126.354,0.40399999999999636,2.9825658e-05,0.027756911057692308,87.39407222525755,-1.3113658346666146,-0.06193064585845004
38,38,A,127.865,128.377,0.5120000000000147,1.8634255e-05,0.04334214154411765,102.36156475929397,-0.7763835881101881,-0.05981413487028099
39,39,A,130.812,134.235,3.423000000000002,3.689603e-05,0.06841413551401869,115.53250247356931,0.28879237806305524,0.05129424157416197
40,40,A,134.246,137.488,3.2419999999999902,4.413795e-05,0.07712928921568628,129.23529494211232,0.6353944199026711,0.06346870148119216
41,41,A,138.027,143.142,5.115000000000009,0.00022381655,0.060125732421875,111.31769628123143,0.2948324081001924,0.19496774613687415
42,42,A,143.165,144.088,0.9230000000000018,1.9513634e-06,0.09418776939655173,110.43411108708294,0.36520736010864535,-0.2022626419013205
43,43,A,147.165,147.55,0.3850000000000193,6.0326354e-05,0.019831730769230768,104.64985412972769,-1.2056271714654843,0.03995455417157913
44,44,A,148.512,149.104,0.592000000000013,4.089974e-05,0.03217516447368421,106.4995088043068,-0.9156166706731098,0.007113177625702758
45,45,A,151.681,151.965,0.2839999999999918,0.00016608031,0.041937934027777776,113.32127074781175,-0.6701869717269823,0.008285437945399127
46,46,A,152.042,153.031,0.9890000000000043,2.4040262e-05,0.11071383568548387,139.19688185571843,1.1191720765884705,-0.14546956386675308
